match_key,contra_account,hits,purity_pct,is_new_vs_live_rules
xx anthropic san debit purchase,"AI, Internet & Website Maintenance fees",464,100.0,yes
payment transfer csdb stripe payments sin drive ,Uncategorised Income,461,97.4,yes
xx google ads sin debit purchase,Other Operating Expenses:Marketing - Advertising (new customers),346,100.0,yes
transportfornsw tap sydney au card xx value date,Operating Expenses:Travel Expense,269,100.0,yes
debit purchase xx google ads sin,Other Operating Expenses:Marketing - Advertising (new customers),181,97.8,yes
xx drive lah pte ltd sin debit purchase,Cost of Overhead Related to Service:Operating Expenses,163,100.0,yes
xx drive lah pte ltd sin debit purchase xx drive,Other Operating Expenses:Technology System Cost,136,100.0,yes
didimobility sydney au card xx value date,Operating Expenses:Travel Expense,135,100.0,yes
payment transfer csdb stripe payments sin drvlah,Uncategorised Income,132,100.0,yes
card transaction of usd issued by anthropic anth,"Operating Expenses:AI, Internet & Website maintenance fees",104,100.0,yes
xx openai san debit purchase,"AI, Internet & Website Maintenance fees",97,100.0,yes
debit purchase twilio,Other Operating Expenses:Technology System Cost,92,100.0,yes
progressive wage credit scheme ibg giro,Other Income,89,100.0,yes
xx intuit qbooks online debit purchase,Other Operating Expenses:Corporate - Bookkeeping Fees,83,100.0,yes
card transaction of aud issued by drive mate pym,Cost of Overhead Related to Service:Operating Expenses,82,100.0,yes
xx drive mate mel debit purchase,Cost of Overhead Related to Service:Operating Expenses,71,97.2,yes
xx drive lah pte ltd sin debit credit xx drive l,Other Income-Refund,69,100.0,yes
intuit quickbooks sydney au card xx value date,Accounting and bookkeeping,63,100.0,yes
aaron jasper a miranda,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,59,98.3,covered
drive lah pte ltd singapore sg card xx sgd value,Operating Expenses:General Expense,59,96.6,yes
xx whale ron debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,54,100.0,yes
edgardo buenaventura,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,52,98.1,covered
debit purchasexx google ads sin debit purchase,Other Operating Expenses:Marketing - Advertising (new customers),47,100.0,yes
xx drive lah pte ltd sin debit purchase auto cat,Cost of Overhead Related to Service:Operating Expenses,47,100.0,yes
car mobile detailing,Cost of Overhead Related to Service:Operating Expenses:Cleaning,44,93.2,yes
didichuxing didi mobility sydney au card xx valu,Operating Expenses:Travel Expense,44,100.0,yes
debit purchase google ads,Other Operating Expenses:Marketing - Advertising (new customers),43,100.0,yes
randolf mercado,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,42,97.6,covered
xx upwork ref debit purchase,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,42,100.0,yes
dominador gamit,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,37,97.3,covered
debit purchase xx sharetribe com hel,Other Operating Expenses:Technology System Cost,36,100.0,yes
zilla marie cenido,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,34,91.2,covered
biz giro,Other Operating Expenses:Human Resource - CPF Contribution,33,93.9,covered
xx twilio sendgrid san debit purchase,Other Operating Expenses:Technology System Cost,33,100.0,yes
to tow lah pte ltd general nan auto categorized ,Cost of Overhead Related to Service:Operating Expenses:Towing,33,100.0,yes
trixie mauricio coronel,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,32,93.8,covered
sq spaces sydney au card xx value date,Operating Expenses:Travel Expense,31,100.0,yes
direct debit aussie broadband cn,"Operating Expenses:AI, Internet & Website maintenance fees",31,100.0,yes
xx anthropic san debit purchase auto categorized,"AI, Internet & Website Maintenance fees",30,100.0,yes
xx google cloud f q sin debit purchase,Other Operating Expenses:Technology System Cost,29,96.6,yes
xx openai chatgpt subscr san debit purchase,"AI, Internet & Website Maintenance fees",29,100.0,yes
ralph efrenson s eronga,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,28,96.4,covered
debit purchase xx calendly,Other Operating Expenses:Technology System Cost,28,100.0,yes
xx google storage sin debit purchase,Other Operating Expenses:Technology System Cost,27,100.0,yes
tow lah sg recovery tow lah sg recovery,Cost of Overhead Related to Service:Operating Expenses,27,100.0,yes
xx google ads sin debit purchase auto categorize,Other Operating Expenses:Marketing - Advertising (new customers),27,100.0,yes
debit purchase xx google google storage sin,Other Operating Expenses:Technology System Cost,25,96.0,yes
ng cheng leng inv,Cost of Overhead Related to Service:Operating Expenses,25,100.0,yes
xx dnh godaddy com sgd debit purchase,Other Operating Expenses:Technology System Cost,25,100.0,yes
debit purchase xx dnh godaddy com,Other Operating Expenses:Technology System Cost,24,100.0,yes
transfer to xx commbank app superblog payment,Operating Expenses:Technology System Costs,24,95.8,yes
xx twillio,Other Operating Expenses:Technology System Cost,23,100.0,yes
xx amazon web services sin debit purchase,Other Operating Expenses:Technology System Cost,23,100.0,yes
john aries hernandez,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,23,100.0,covered
uber trip sydney au card xx value date,Operating Expenses:Travel Expense,23,100.0,yes
debit purchasexx google ads,Other Operating Expenses:Marketing - Advertising (new customers),22,100.0,yes
xx notion labs inc san debit purchase,Other Operating Expenses:Technology System Cost,22,100.0,yes
vishal raj,Other Operating Expenses:Human Resource - Salary Expense,22,100.0,covered
omnitas dev stockholm se card xx usd value date,"Operating Expenses:AI, Internet & Website maintenance fees",22,95.5,yes
debit purchasexx upwork ref,Accrued Expense,21,90.5,yes
noraisa domado,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,21,100.0,covered
ratan b ratan,Other Operating Expenses:Human Resource - Salary Expense,21,100.0,covered
syed sharim iqbal syed sharim iqbal,Other Operating Expenses:Human Resource - Salary Expense,21,90.5,yes
tow lah sg recovery,Cost of Overhead Related to Service:Operating Expenses,21,100.0,yes
usd debit purchasexx twilio sanxx twilio san,Other Operating Expenses:Technology System Cost,21,100.0,yes
xx kore wireless atl debit purchase,Other Operating Expenses:Technology System Cost,20,100.0,yes
xx sharetribe hel debit purchase auto categorize,Other Operating Expenses:Corporate - Subscription/Software Expenses,19,100.0,yes
sq spaces sydney au,Operating Expenses:Travel Expense,19,100.0,yes
aquid shahwar,Other Operating Expenses:Human Resource - Salary Expense,18,94.4,covered
jennilyn reyes,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,18,94.4,covered
xx figma san debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,18,100.0,yes
claude ai subscription anthropic com ca us card ,Subscriptions/ Software expenses,18,94.4,yes
usd debit purchasexx twilio san,Other Operating Expenses:Technology System Cost,17,100.0,yes
debit purchase xx zendesk inc dub,Other Operating Expenses:Technology System Cost,17,100.0,yes
ahmed nasr hammam nasr,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,17,100.0,covered
xx midjourney inc sou debit purchase,Other Operating Expenses:Technology System Cost,17,100.0,yes
xx chatgpt subscription san debit purchase,Other Operating Expenses:Technology System Cost,17,100.0,yes
roxanne reyes,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,17,100.0,covered
aman yadav,Other Operating Expenses:Human Resource - Salary Expense,17,100.0,covered
xx marlee f s australia syd debit purchase,"AI, Internet & Website Maintenance fees",17,100.0,yes
xx intuit qbooks online debit purchase auto cate,Other Operating Expenses:Corporate - Bookkeeping Fees,17,100.0,yes
to inv pb towlah sg recovery general nan auto ca,Cost of Overhead Related to Service:Operating Expenses:Towing,17,100.0,yes
inv pb sent money to towlah sg recovery sent mon,Cost of Overhead Related to Service:Operating Expenses:Towing,17,100.0,yes
rightworks www rightwork nh us card xx usd value,"Operating Expenses:AI, Internet & Website maintenance fees",17,100.0,yes
xx carousell sin debit purchase,Other Operating Expenses:Marketing - Advertising (new customers),16,93.8,yes
fast payment bexp ng cheng leng towing drive lah,Cost of Overhead Related to Service:Operating Expenses,16,100.0,yes
debit purchase xx google google storage,Other Operating Expenses:Technology System Cost,16,93.8,yes
debit purchasexx google ads xx google ads,Other Operating Expenses:Marketing - Advertising (new customers),16,93.8,yes
debit purchase xx amazon web services aws,Other Operating Expenses:Technology System Cost,15,100.0,yes
xx fingerprint for succes sur debit purchase,Other Operating Expenses:Technology System Cost,15,100.0,yes
xx google one sin debit purchase,"AI, Internet & Website Maintenance fees",15,100.0,yes
xx intuit qbooks online san debit purchase,Other Operating Expenses:Corporate - Bookkeeping Fees,15,100.0,yes
debit purchase xx dnh godaddy com sgd,Other Operating Expenses:Technology System Cost,15,100.0,yes
sourcegraph com sourcegraph c ca us card xx aud ,"Operating Expenses:AI, Internet & Website maintenance fees",15,100.0,yes
card transaction of usd issued by cursor usage m,Subscriptions/ Software expenses,15,93.3,yes
debit purchase xx stk shutterstock,Other Operating Expenses:Marketing Asset Creation,14,100.0,yes
maria fonseca b dimaandal,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,14,92.9,covered
llanes aaron insorio,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,14,100.0,covered
ankish riten mody,Other Operating Expenses:Human Resource - Salary Expense,14,92.9,covered
xx tldx solutions gmbh aac debit purchase,"AI, Internet & Website Maintenance fees",14,100.0,yes
inv pb sent money to towlah sg recovery inv pb,Cost of Overhead Related to Service:Operating Expenses:Towing,14,100.0,yes
xx sharetribe com hel debit purchase,Other Operating Expenses:Technology System Cost,14,100.0,yes
debit purchase xx quickbooks lon,Other Operating Expenses:Corporate - Bookkeeping Fees,14,100.0,yes
notion labs inc notion so ca us card xx usd valu,"Operating Expenses:AI, Internet & Website maintenance fees",14,100.0,yes
card transaction of aud issued by drive mate mel,Cost of Overhead Related to Service:Operating Expenses,14,100.0,yes
fast payment sala sarala d o let sarah salary dr,Other Operating Expenses:Human Resource - Salary Expense,13,100.0,yes
debit purchase upwork,Accrued Expense,13,100.0,yes
bhalani nimesh himmatbhai,Other Operating Expenses:Human Resource - Salary Expense,13,92.3,covered
xx surveymonk t dub debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,13,100.0,yes
xx openai san debit purchase auto categorized op,"AI, Internet & Website Maintenance fees",13,100.0,yes
