qb_label,usage_count,entities,llm_code,llm_name,llm_confidence,llm_reason,approved_code/ remarks
Due to Fleet,18090,sg_,,,low,intra-entity RMS Fleet clearing — needs a decision,"The thing is that when we got were running Rental management service (RMS), the flow of funds was as follows. Guest used to pay X to Drive lah for the car. Here we were registered as the host since it was RMS. We as Drive lah received money into a connected account where Drive lah was the host. Now money from this connected account used to flow as cash into Drive lah bank accont. This money coming in was recorded as due to fleet. || DECISION 2026-07-10: TRANSFER (internal transfer, never P&L)"
Cost of Overhead Related to Service:Operating Expenses,1343,"au,sg_",,,low,generic COS overhead bucket with no leaf detail — could split across many 50xx; needs decision,Yes this is generic code which needs to be split || DECISION 2026-07-10: SPLIT
Due from Fleet,776,sg_,,,low,intra-entity RMS Fleet clearing — needs a decision,All the RMS payouts to hosts who's cars we were managing were tagged as Due from fleet. || DECISION 2026-07-10: 5001 (Host Payouts - P2P RMS)
Other Operating Expenses:Technology System Cost,717,sg_,6700,Technology - Infrastructure,med,"Technology system/infrastructure cost -> Technology - Infrastructure; could be 6701 if SaaS, but 'system cost' reads as infra",can be split between 6700/ 6701 depending upon the counterparty || DECISION 2026-07-10: SPLIT
Due to Aus Fleet,686,au,,,low,intra-entity RMS Fleet clearing — needs a decision,"The thing is that when we got were running Rental management service (RMS), the flow of funds was as follows. Guest used to pay X to Drive lah for the car. Here we were registered as the host since it was RMS. We as Drive lah received money into a connected account where Drive lah was the host. Now money from this connected account used to flow as cash into Drive lah bank accont. This money coming in was recorded as due to fleet. || DECISION 2026-07-10: TRANSFER (internal transfer, never P&L)"
Fleet Account,649,sg_,,,low,intra-entity RMS Fleet clearing — needs a decision,"See explanation on fleet above || DECISION 2026-07-10: TRANSFER (internal transfer, never P&L)"
Other Operating Expenses:Human Resource - Salary Expense,630,sg_,6000,Salaries & Wages,med,Corporate/admin HR salary; on-ground (5061) only if ops team — generic HR salary maps to 6000,by default 6000 || DECISION 2026-07-10: 6000
Due from Singapore,535,"au,sg_,ven",8010,IC - Due from SG (AU books),med,IC receivable from SG; AU books (dominant entity) Due from SG=8010; mixed-books label.,"Depending upon which is the enttiy we are talking about. If it is ventures expecting money from SG pte ltd, then 8020. hence it depends upon who paid the money on behalf of sg pte ltd. || DECISION 2026-07-10: ENTITY-DEPENDENT"
Business General & Administrative Expense,326,sg_,3300,Suspense Account,low,"Generic G&A catch-all, not a tax account; no clean expense match -> Suspense pending reclass (machine 9000 income tax is wrong)",These are general expenses. Most likley to be reclassified into one of the expense categories || DECISION 2026-07-10: SPLIT
Due to SG,324,sg_,,,low,"Due to SG on SG's own books is self-referential — likely intra-entity/Fleet clearing, needs a decision",Again depending upon who is the charging entity. || DECISION 2026-07-10: TRANSFER
