disposition,rule_name,entity,description_operator,description_value,contra_account_code,contra_account_name,hits,purity_pct,qb_label,is_new_vs_qb_rules,note
covered-by-counterparty,mined: transportfornsw tap sydney au card xx value date,DL AU,contains,transportfornsw tap sydney au card xx value date,,,269,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'transport for nsw' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: didimobility sydney au card xx value date,DL AU,contains,didimobility sydney au card xx value date,,,135,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'didi mobility' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: card transaction of usd issued by anthropic anth,DL AU,contains,card transaction of usd issued by anthropic anth,,,104,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'anthropic' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: card transaction of aud issued by drive mate pym,DL AU,contains,card transaction of aud issued by drive mate pym,,,82,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: intuit quickbooks sydney au card xx value date,DL AU,contains,intuit quickbooks sydney au card xx value date,,,63,100.0,Accounting and bookkeeping,yes,pattern names party 'intuit' — its arbitrated default governs; a rule would override it
dropped:self-or-ic-pattern,mined: drive lah pte ltd singapore sg card xx sgd value,DL AU,contains,drive lah pte ltd singapore sg card xx sgd value,,,59,96.6,Operating Expenses:General Expense,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
covered-by-counterparty,mined: didichuxing didi mobility sydney au card xx valu,DL AU,contains,didichuxing didi mobility sydney au card xx valu,,,44,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'didi mobility' — its arbitrated default governs; a rule would override it
rule,mined: sq spaces sydney au card xx value date,DL AU,contains,sq spaces sydney au card xx value date,6400,Travel - Tickets,31,100.0,Operating Expenses:Travel Expense,yes,
covered-by-counterparty,mined: direct debit aussie broadband cn,DL AU,contains,direct debit aussie broadband cn,,,31,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'aussie broadband' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: transfer to xx commbank app superblog payment,DL AU,contains,transfer to xx commbank app superblog payment,,,24,95.8,Operating Expenses:Technology System Costs,yes,pattern names party 'superblog' — its arbitrated default governs; a rule would override it
