COA Code,Account Name,What it means (plain English),Type,Threshold for Approver else auto approve (in SGD),Approver 1 (name/email),Approver 2 (name/email — blank = single approval),"2nd approver needed above (SGD, blank = follow default)",Needs Trip ID? (Y/N),Needs Intercom Ticket ID? (Y/N),Other mandatory info (free text),Auto-approve OK once trusted? (Y/N),Notes
1300,Prepayments,Payments made in advance for goods or services not yet received (e.g. prepaid rent or prepaid insurance premiums covering future periods).,Asset (capitalised),-,,,,,,,,
1500,Computer & Peripherals,"Laptops, desktops, monitors, and peripheral equipment purchased for business use. Capitalised at cost and depreciated over useful life.",Asset (capitalised),-,Gaurav,NA,,,,,,
1510,Hardware Devices,"In-car GPS/telematics devices purchased for installation in host vehicles. Includes devices in stock and installed. Capitalised at cost, depreciated over useful life.",Asset (capitalised),-,DJ,NA,,,,,,
1520,Motor Vehicles,Motor vehicles owned by the company (e.g. RMS fleet vehicles). Capitalised at purchase cost and depreciated over useful life.,Asset (capitalised),-,DJ,NA,,,,,,
1530,Furniture & Fixtures,"Office desks, chairs, shelving, and other fixtures. Capitalised at cost and depreciated over useful life.",Asset (capitalised),-,DJ,NA,,,,,,
1700,Brand,"Capitalised costs related to brand development, trademark registration, and brand identity. Amortised over useful life.",Asset (capitalised),-,GS,NA,,,,,,
1710,Technology Development,"Capitalised software development costs (platform, mobile app, internal tools). Amortised over useful life once the asset is available for use.",Asset (capitalised),-,GS,NA,,,,,,
5000,Host Trip Earnings - P2P,"Host's earnings share from P2P short-term bookings. Typically ~60% of GBV. This is the largest single cost component, paid to the car owner after trip completion.",Cost of Sales,,NA,NA,,Y,Y,,,suggested from account type — please confirm/adjust
5001,Host Trip Earnings - RMS,Host's earnings share from P2P RMS bookings. Typically ~50% of GBV (lower than P2P regular due to 20% management fee). Paid to car owner after trip completion.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5002,Host Trip Earnings - Flex+,Host's earnings share from Flex+ long-term bookings. Paid monthly to the car owner based on the long-term rental agreement terms.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5003,Host Trip Earnings - Flex+ RMS,Host's earnings share from Flex+ RMS bookings. Lower payout percentage than Flex+ regular due to the management fee component.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5010,Payment Processing Fees,"Fees charged by payment processors (e.g. Stripe) for processing guest payments, host payouts, and refunds. Typically 2-3% of transaction value.",Cost of Sales,,NA,NA,,,,,,
5011,Stripe Platform Adjustments,"Reconciliation catch for un-modelled Stripe balance-txn categories: refund_failure, connect_collection_transfer, charge_failure (POL-68).",Cost of Sales,,NA,NA,,,,,,
5020,Incidentals Payout - Tolls,Toll charges reimbursed to hosts or paid to toll operators. The difference between toll revenue (4020) and this payout is the platform margin.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5021,Incidentals Payout - Damage (Host),Compensation paid to hosts for vehicle damage caused by guests during a trip. Separate from workshop (5032) and insurance excess (5036) costs.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5022,Incidentals Payout - Cleaning,Payments to hosts or cleaning service providers for vehicle cleaning after a trip. Funded by cleaning charges to guests (4022).,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5023,Incidentals Payout - Fuel,Fuel cost refunds paid to guests who filled fuel that the host should have provided. Recovered from host charges.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5024,Incidentals Payout - Excess Mileage,Excess mileage compensation paid to hosts for additional wear on their vehicle. Funded by excess mileage charges to guests (4024).,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5025,Incidentals Payout - Other,Catch-all for miscellaneous incidental payouts to hosts or third parties not covered by specific incidental categories.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5030,Cost of Device Subscriptions,"Direct costs of providing the device subscription product: hardware purchase cost, SIM/data connectivity, and device maintenance. Matched against device subscription revenue (4010).",Cost of Sales,,,,,,,,,
5031,Cost of Insurance - Subscription Premium,Insurance premiums paid to the insurer for providing the host insurance subscription product. Matched against insurance subscription revenue (4011).,Cost of Sales,,,,,,,,,
5032,Incidentals Payout - Workshop,Payments to workshops and repair centres for vehicle damage repairs. Part of the total damage cost alongside host compensation (5021) and assessor fees (5034).,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5033,Incidentals Payout - Towing,Payments to towing companies for vehicle recovery after breakdowns or accidents. May be partially recovered through insurance claims (4030).,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5034,Incidentals Payout - Assessor,Fees paid to damage assessors for inspecting and reporting on vehicle damage. Required for insurance claims and dispute resolution.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5035,Cost of Insurance - Trip Premium,Insurance premium paid per trip to provide coverage for all bookings. This is a cost of doing business that applies across P2P/RMS/Flex+ equally.,Cost of Sales,,,,,Y,,,,suggested from account type — please confirm/adjust
5036,Cost of Insurance - Excess/Deductible,Insurance excess (deductible) amount paid to the insurer when making a damage claim. The portion of the claim the company must bear before insurance covers the rest.,Cost of Sales,,,,,Y,,,,suggested from account type — please confirm/adjust
5037,Cost of Fuel Refund to Guest,AU fuel-refund flow: fuel REFUNDED to guest = cost (POL-51). AU-only. Paired with 4032.,Cost of Sales,,NA,NA,,,,,,
