qb_label,qb_leaf,usage_count,entities,llm_code,llm_name,llm_confidence,llm_reason,approved_code,approved_notes,rec_code,score,FLAG
Due to Fleet,Due to Fleet,18090,sg_,,,low,intra-entity RMS Fleet clearing — needs a decision,TRANSFER,"RMS settlement of our own money: we were the registered host, so guest revenue was already recognized at Stripe; this inflow is Stripe-connected-account -> our bank, an INTERNAL CASH TRANSFER (never P&L). Handled by transfer-pairing (connected acct modeled as a cash account), not a COA rule. Decision 2026-07-10.",8100,0.351,approved
Stripe,Stripe,2859,au,,,,,,,,,bank-acct (per-entity 1000-1199)
1101 Savings (7311),1101 Savings (7311),1434,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Cost of Overhead Related to Service:Operating Expenses,Operating Expenses,1343,"au,sg_",,,low,generic COS overhead bucket with no leaf detail — could split across many 50xx; needs decision,SPLIT,Per Gaurav (2026-07-10): generic COS bucket — no static code; resolve per-line via counterparty defaults/rules across 50xx; residual to RAG/review.,2200,0.235,approved
Due from Fleet,Due from Fleet,776,sg_,,,low,intra-entity RMS Fleet clearing — needs a decision,5001,Payouts to the real RMS car owners -> 5001 Host Payouts - P2P RMS (COGS). The old mock-Fleet consolidation elimination now happens at this mapping level. Decision 2026-07-10.,8000,0.376,approved
Accounts Payable (A/P),Accounts Payable (A/P),724,au,2000,Trade & Other Payables,high,Trade & other payables; AP anchor maps to 2000.,2000,,2010,0.522,audited-ok
Other Operating Expenses:Technology System Cost,Technology System Cost,717,sg_,6700,Technology - Infrastructure,med,"Technology system/infrastructure cost -> Technology - Infrastructure; could be 6701 if SaaS, but 'system cost' reads as infra",SPLIT,"Per Gaurav (2026-07-10): 6700 (infra: AWS/GCP/hosting) vs 6701 (SaaS subscriptions) by counterparty. Resolve per-line via counterparty defaults, not a static label map.",6700,0.429,approved
Due to Aus Fleet,Due to Aus Fleet,686,au,,,low,intra-entity RMS Fleet clearing — needs a decision,TRANSFER,"RMS settlement of our own money: we were the registered host, so guest revenue was already recognized at Stripe; this inflow is Stripe-connected-account -> our bank, an INTERNAL CASH TRANSFER (never P&L). Handled by transfer-pairing (connected acct modeled as a cash account), not a COA rule. Decision 2026-07-10.",8100,0.365,approved
Fleet Account,Fleet Account,649,sg_,,,low,intra-entity RMS Fleet clearing — needs a decision,TRANSFER,"RMS settlement of our own money: we were the registered host, so guest revenue was already recognized at Stripe; this inflow is Stripe-connected-account -> our bank, an INTERNAL CASH TRANSFER (never P&L). Handled by transfer-pairing (connected acct modeled as a cash account), not a COA rule. Decision 2026-07-10.",5060,0.325,approved
Other Operating Expenses:Human Resource - Salary Expense,Human Resource - Salary Expense,630,sg_,6000,Salaries & Wages,med,Corporate/admin HR salary; on-ground (5061) only if ops team — generic HR salary maps to 6000,6000,Default 6000 per Gaurav (2026-07-10). On-ground/CS salaries only if team-specific (5061/5063).,5061,0.327,approved
1102 Wise AU,1102 Wise AU,598,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Due from Singapore,Due from Singapore,535,"au,sg_,ven",8010,IC - Due from SG (AU books),med,IC receivable from SG; AU books (dominant entity) Due from SG=8010; mixed-books label.,ENTITY-DEPENDENT,"Per Gaurav (2026-07-10): depends on whose books — AU books -> 8010; Ventures books -> 8020 (who paid on behalf of SG Pte Ltd). SG's own 1 occurrence is E-bucket (non-bank, Fleet-folded) — excluded from replay.",8010,0.431,approved
