id,entity_id,code,name,account_type,normal_balance,parent_code,created_at,updated_at,category,sub_category,description,is_bank_account,status,gst_applicable
4,,1200,Trade Receivables,ASSET,DEBIT,,2026-02-19 03:40:06.757666,2026-02-19 03:40:06.757667,Assets,Receivables,Amounts owed to the company from customers and business partners in the normal course of operations (e.g. outstanding invoices to guests or hosts).,False,ACTIVE,False
5,,1220,Other Receivables,ASSET,DEBIT,,2026-02-19 03:40:06.757667,2026-02-19 03:40:06.757668,Assets,Receivables,Non-trade amounts owed to the company such as staff advances and other miscellaneous receivables not related to core business operations.,False,ACTIVE,False
6,,1300,Prepayments,ASSET,DEBIT,,2026-02-19 03:40:06.757668,2026-02-19 03:40:06.757668,Assets,Other Current Assets,Payments made in advance for goods or services not yet received (e.g. prepaid rent or prepaid insurance premiums covering future periods).,False,ACTIVE,False
7,,1310,Customer Deposits,ASSET,DEBIT,,2026-02-19 03:40:06.757669,2026-02-19 03:40:06.757669,Assets,Other Current Assets,Refundable deposits paid by the company to third parties (e.g. office rental deposits or security deposits).,False,ACTIVE,False
8,,1320,Loans to Others,ASSET,DEBIT,,2026-02-19 03:40:06.757669,2026-02-19 03:40:06.757670,Assets,Other Current Assets,Short-term loans extended to individuals or entities outside the group. Tracks principal amounts outstanding.,False,ACTIVE,False
9,,1330,Currency Exchange,ASSET,DEBIT,,2026-02-19 03:40:06.757670,2026-02-19 03:40:06.757671,Assets,Other Current Assets,Temporary clearing account for foreign currency conversion transactions. Should net to zero after conversions are completed.,False,ACTIVE,False
10,,1350,GST Receivable (Input Tax),ASSET,DEBIT,,2026-02-19 03:40:06.757671,2026-02-19 03:40:06.757671,Assets,Other Current Assets,"GST/VAT paid on business purchases that is reclaimable from the tax authority (IRAS for Singapore, ATO for Australia). Offset against GST Payable when filing returns.",False,ACTIVE,False
11,,1500,Computer & Peripherals,ASSET,DEBIT,,2026-02-19 03:40:06.757672,2026-02-19 03:40:06.757672,Assets,Fixed Assets,"Laptops, desktops, monitors, and peripheral equipment purchased for business use. Capitalised at cost and depreciated over useful life.",False,ACTIVE,False
12,,1510,Hardware Devices,ASSET,DEBIT,,2026-02-19 03:40:06.757672,2026-02-19 03:40:06.757673,Assets,Fixed Assets,"In-car GPS/telematics devices purchased for installation in host vehicles. Includes devices in stock and installed. Capitalised at cost, depreciated over useful life.",False,ACTIVE,False
13,,1520,Motor Vehicles,ASSET,DEBIT,,2026-02-19 03:40:06.757673,2026-02-19 03:40:06.757674,Assets,Fixed Assets,Motor vehicles owned by the company (e.g. RMS fleet vehicles). Capitalised at purchase cost and depreciated over useful life.,False,ACTIVE,False
