accrual_pattern,count
(unsplit JE),380
Intangible Assets:Technology Development:Technology Development - Accumulated Depreciation,232
Depreciation Expenses,224
Due from Singapore,68
Intangible Assets:Brand:Brand - Amortization,64
Depreciation - Branding,63
Due to Singapore,61
Intangible Assets:Technology Development:Technology Development - At Cost,46
Share Capital - Ordinary,39
Ventures- Euro,27
Depreciation - Technology Development,27
Currency Exchange,19
In-car devices...:Accumulated Depreciation-In-car Devices,18
Due From Australian Account,13
"Operating Expenses:Corporate-COSEC, FS & Tax",13
Other Revenue,12
Deferred Income,12
Provision for Taxation,5
Accruals,5
Suspense,4
Payable to Others,3
Income Tax Expense,3
Share Capital - Ordinary:Share Capital - Preference,3
Corporate - Fines and Penalties,3
Deposit,2
Prepayments,2
Investment in Subsidiaries:Investment in Subsidiary - Drive Lah Pte Ltd (SG),2
Investment in Subsidiaries:Investment in subsidiary - Drive Lah Pty Ltd (AU),2
Account Payables,2
In-car devices...,2
Unrealized capital contribution,2
Convertible loan,2
Intangible Assets:Brand:Brand - Cost,1
Other Revenue:Other Income-Refund,1
Operating Expenses:Corporate-Prof. Fees (Others),1
Retained Earnings,1
Operating Expenses:Corporate - Company Secretary Fees,1
