tenant,code,default_payer,default_receiver,pricing_account_token,category_id,coa_account_code,coa_account_name,gst_treatment,confidence,basis,signoff
AU,line-item/units,GUEST,HOST,USER_RECEIVABLE,,4000,GBV - P2P,NON_REGISTERED_HOST,MEDIUM,host supply pass-through (POL-36); host typically not GST-registered,APPROVED-GS-20260903
AU,line-item/provider-commission,HOST,DRIVELAH,HOST_COMMISSION_REVENUE,,5000,Host Payouts - P2P,STANDARD,HIGH,DL commission = our taxable supply (POL-36); nets against host payout in gross COA model,APPROVED-GS-20260903
AU,line-item/protection-fee,GUEST,DRIVELAH,PLATFORM_REVENUE,,4000,GBV - P2P,STANDARD,HIGH,DL fee revenue (POL-36),APPROVED-GS-20260903
AU,line-item/excess-reduction,GUEST,DRIVELAH,PLATFORM_REVENUE,,4000,GBV - P2P,STANDARD,HIGH,DL fee revenue (POL-36),APPROVED-GS-20260903
AU,line-item/excess-reduction2,GUEST,DRIVELAH,PLATFORM_REVENUE,,4000,GBV - P2P,STANDARD,HIGH,DL fee revenue (POL-36),APPROVED-GS-20260903
AU,line-item/mileage-package,GUEST,DRIVELAH,PLATFORM_REVENUE,,4000,GBV - P2P,STANDARD,HIGH,DL fee revenue (POL-36),APPROVED-GS-20260903
AU,line-item/mileage-package-dl-share,HOST,DRIVELAH,HOST_COMMISSION_REVENUE,,5000,Host Payouts - P2P,STANDARD,HIGH,DL commission slice (POL-36),APPROVED-GS-20260903
AU,line-item/delivery,GUEST,HOST,USER_RECEIVABLE,,4000,GBV - P2P,NON_REGISTERED_HOST,MEDIUM,host supply pass-through (POL-36),APPROVED-GS-20260903
AU,line-item/delivery-commission,HOST,DRIVELAH,HOST_COMMISSION_REVENUE,,5000,Host Payouts - P2P,STANDARD,HIGH,DL commission slice (POL-36),APPROVED-GS-20260903
AU,line-item/fuel-protection,GUEST,DRIVELAH,PLATFORM_REVENUE,,4000,GBV - P2P,STANDARD,HIGH,DL fee revenue (POL-36),APPROVED-GS-20260903
AU,line-item/fuel-inclusion-dl-share,HOST,DRIVELAH,HOST_COMMISSION_REVENUE,,5000,Host Payouts - P2P,STANDARD,HIGH,DL commission slice (POL-36),APPROVED-GS-20260903
