View,Used in new system?,Debit account,Credit account,Note
v_AU_a_cost_fuel_payout,YES,5023 Incidentals Payout - Fuel,2120 Host Payables,
v_AU_a_cost_fuel_refund_to_guest,YES,5037 Cost of Fuel Refund to Guest,1019 Bank - Stripe (Stripe Platform),Cr 1019 also takes manual bank txns
v_AU_a_cost_late_return,YES,5044 Host Payouts - Late Return,2120 Host Payables,
v_AU_a_fuel_charged_to_host,YES,2120 Host Payables,4032 Incidentals Revenue - Fuel Charged to Host,
v_AU_a_host_discounts,YES,2120 Host Payables,5050 Host Discounts,
v_AU_a_host_flexplus_payout,YES,5002 Host Trip Earnings - Flex+,2120 Host Payables,
v_AU_a_host_incidentals_cleanliness,YES,5022 Incidentals Payout - Cleaning,2120 Host Payables,Dr 5022 also takes manual bank txns
v_AU_a_host_incidentals_damage,YES,5021 Incidentals Payout - Damage (Host),2120 Host Payables,
v_AU_a_host_incidentals_excess_mileage,YES,5024 Incidentals Payout - Excess Mileage,2120 Host Payables,
v_AU_a_host_incidentals_tolls,YES,5020 Incidentals Payout - Tolls,2120 Host Payables,Dr 5020 also takes manual bank txns
v_AU_a_host_misc_charge_collected,YES,2120 Host Payables,5042 Host Payouts - Misc,
v_AU_a_host_payout_regular_p2p,YES,5000 Host Trip Earnings - P2P,2120 Host Payables,
v_AU_a_host_referral_payout,YES,5042 Host Payouts - Misc,2120 Host Payables,
v_AU_a_host_subscription_collected,YES,2120 Host Payables,4010 Subscription Revenue - Device,
v_AU_a_host_trip_earnings_rms,YES,5001 Host Trip Earnings - RMS,2120 Host Payables,Dr 5001 also takes manual bank txns
v_AU_a_incidentals_classified,YES (feeder),,,feeds v_AU_a_incidentals_cleaning_invoiced — no direct posting
v_AU_a_incidentals_cleaning_invoiced,YES,1200 Trade Receivables,4022 Incidentals Revenue - Cleaning,
v_AU_a_incidentals_damage_invoiced,YES,1200 Trade Receivables,4021 Incidentals Revenue - Damage,
v_AU_a_incidentals_excess_mileage_invoiced,YES,1200 Trade Receivables,4024 Incidentals Revenue - Excess Mileage,
v_AU_a_incidentals_fines_invoiced,YES,1200 Trade Receivables,4028 Incidentals Revenue - Infringement / Fines,
v_AU_a_incidentals_flexplus_leak_invoiced,YES,1200 Trade Receivables,4002 GBV - Flex+,
v_AU_a_incidentals_fuel_charge_invoiced,YES,1200 Trade Receivables,4023 Incidentals Revenue - Fuel Charge,
v_AU_a_incidentals_insurance_leak_invoiced,YES,1200 Trade Receivables,4011 Subscription Revenue - Insurance,
v_AU_a_incidentals_late_return_invoiced,YES,1200 Trade Receivables,4031 Incidentals Revenue - Late Return,
v_AU_a_incidentals_other_invoiced,YES,1200 Trade Receivables,4025 Incidentals Revenue - Other,Cr 4025 also takes manual bank txns
v_AU_a_incidentals_paginated_hold,YES,1200 Trade Receivables,4025 Incidentals Revenue - Other,Cr 4025 also takes manual bank txns
v_AU_a_incidentals_penalty_invoiced,YES,1200 Trade Receivables,4027 Incidentals Revenue - Penalty / Late Fee,
v_AU_a_incidentals_platform_fees_invoiced,YES,1200 Trade Receivables,4026 Incidentals Revenue - Platform Fees,
v_AU_a_incidentals_tolls_invoiced,YES,1200 Trade Receivables,4020 Incidentals Revenue - Tolls,
v_AU_a_incidentals_trip_to_base_invoiced,YES,1200 Trade Receivables,4000 GBV - P2P,Cr 4000 also takes manual bank txns
v_AU_a_misc_corrections,YES,5000 Host Trip Earnings - P2P,2120 Host Payables,
v_AU_a_misc_damage,YES,5021 Incidentals Payout - Damage (Host),2120 Host Payables,
v_AU_a_misc_downtime,YES,5043 Host Payouts - Downtime,2120 Host Payables,
v_AU_a_misc_parking,YES,5060 Parking - RMS Fleet,2120 Host Payables,Dr 5060 also takes manual bank txns
v_AU_a_misc_payout_classified,YES (feeder),,,feeds v_AU_a_misc_corrections — no direct posting
v_AU_a_misc_residual,YES,5042 Host Payouts - Misc,2120 Host Payables,
v_AU_a_misc_sticker,YES,5041 Host Payouts - Sticker,2120 Host Payables,
v_AU_a_misc_superhost,YES,5040 Host Payouts - Superhost,2120 Host Payables,
v_AU_a_misc_tolls,YES,5020 Incidentals Payout - Tolls,2120 Host Payables,Dr 5020 also takes manual bank txns
v_AU_a_misc_towing,YES,5033 Incidentals Payout - Towing,2120 Host Payables,Dr 5033 also takes manual bank txns
v_AU_a_subscription_device_invoiced,YES,1200 Trade Receivables,4010 Subscription Revenue - Device,
v_AU_a_subscription_flexplus_invoiced,YES,1200 Trade Receivables,4002 GBV - Flex+,
v_AU_a_subscription_insurance_invoiced,YES,1200 Trade Receivables,4011 Subscription Revenue - Insurance,
v_AU_a_subscription_other_invoiced,YES,1200 Trade Receivables,4025 Incidentals Revenue - Other,Cr 4025 also takes manual bank txns
