qb_label,qb_leaf,usage_count,entities,machine_rec_code
Other Operating Expenses:Technology System Cost,Technology System Cost,717,sg_,6700
Business General & Administrative Expense,Business General & Administrative Expense,326,sg_,9000
Other Operating Expenses:Corporate - Subscription/Software Expenses,Corporate - Subscription/Software Expenses,141,sg_,6701
Cost of Overhead Related to Service:Operating Expenses:Workshop,Workshop,108,"au,sg_",5032
Cost of Overhead Related to Service:Operating Expenses:Onground team,Onground team,87,"au,sg_",5062
Cost of Overhead Related to Service:Operating Expenses:Misc dispute,Misc dispute,52,sg_,5042
Exchange Gain or Loss,Exchange Gain or Loss,34,"sg_,ven",7100
Due To Australia,Due To Australia,28,sg_,8100
Cost of Overhead Related to Service:Operating Expenses:Cleaning,Cleaning,23,"au,sg_",5022
Convertible loan,Convertible loan,18,ven,1320
Uncategorised Expense,Uncategorised Expense,12,"sg_,ven",2200
Prepaid Expense,Prepaid Expense,10,sg_,2200
Other Operating Expenses:Travel Expenses,Travel Expenses,8,sg_,6401
Cost of Overhead Related to Service:Salary expense - Misc claims (Ops staff),Salary expense - Misc claims (Ops staff),5,sg_,6014
Fleet - Rental Expense,Fleet - Rental Expense,5,au,5060
Other Operating Expenses,Other Operating Expenses,4,sg_,7000
Payable to Others,Payable to Others,3,"sg_,ven",2010
Operating Expenses:Corporate - Office Rental,Corporate - Office Rental,3,au,6300
Research and Development Hardware,Research and Development Hardware,2,sg_,1710
Employee Expenses,Employee Expenses,2,au,6014
Brand:Accumulated Depreciation- Branding,Accumulated Depreciation- Branding,1,sg_,6101
Accumulated Depreciation - Intangible asset,Accumulated Depreciation - Intangible asset,1,sg_,7301
Other Operating Expenses:Subscription Fee,Subscription Fee,1,sg_,5030
Accumulated Depreciation-Computer and peripherals,Accumulated Depreciation-Computer and peripherals,1,sg_,1500
Other Operating Expenses:Human Resources- Staffs' training,Human Resources- Staffs' training,1,sg_,5010
Gross-Other Income,Gross-Other Income,1,au,7000
Intangible Assets:Technology Development:Technology Development - Accumulated Depreciation,Technology Development - Accumulated Depreciation,1,ven,1710
Provision for Taxation,Provision for Taxation,1,ven,5064
Unrealized capital contribution,Unrealized capital contribution,1,ven,3000
Trade and other payables,Trade and other payables,617,sg_,2000
Operating Expenses:Meals and Entertainment,Meals and Entertainment,116,au,6402
Cost of Overhead Related to Service:Refunds,Refunds,51,"au,sg_",5052
Other Operating Expenses:Human Resource - Directors' Salary,Human Resource - Directors' Salary,37,sg_,6003
Cost of Overhead Related to Service:Operating Expenses:Sticker payouts,Sticker payouts,21,sg_,5041
Device subscriptions,Device subscriptions,16,sg_,5030
Operating Expenses:Recruitment Expense,Recruitment Expense,9,au,6200
Other Operating Expenses:Corporate - Fines and Penalties,Corporate - Fines and Penalties,7,sg_,6502
Other Payables,Other Payables,3,sg_,2010
Retained Earnings,Retained Earnings,2,"sg_,ven",3100
Depreciation-Equipment,Depreciation-Equipment,1,sg_,7300
Accumulated amortisation - Technology Development,Accumulated amortisation - Technology Development,1,sg_,7400
Depreciation - Technology Development,Depreciation - Technology Development,1,ven,1710
Corporate - Fines and Penalties,Corporate - Fines and Penalties,1,ven,6502
