disposition,rule_name,entity,description_operator,description_value,contra_account_code,contra_account_name,hits,purity_pct,qb_label,is_new_vs_qb_rules,note
covered-by-counterparty,mined: xx anthropic san debit purchase,DL SG,contains,xx anthropic san debit purchase,,,464,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'anthropic' — its arbitrated default governs; a rule would override it
transfer-rule,mined: payment transfer csdb stripe payments sin drive,DL SG,contains,payment transfer csdb stripe payments sin drive,,,461,97.4,Uncategorised Income,yes,Stripe settlement per locked decision — Phase-0.5 INTERNAL_TRANSFER rule
covered-by-counterparty,mined: xx google ads sin debit purchase,DL SG,contains,xx google ads sin debit purchase,,,346,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: debit purchase xx google ads sin,DL SG,contains,debit purchase xx google ads sin,,,181,97.8,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
dropped:self-or-ic-pattern,mined: xx drive lah pte ltd sin debit purchase,DL SG,contains,xx drive lah pte ltd sin debit purchase,,,163,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
dropped:self-or-ic-pattern,mined: xx drive lah pte ltd sin debit purchase xx drive,DL SG,contains,xx drive lah pte ltd sin debit purchase xx drive,,,136,100.0,Other Operating Expenses:Technology System Cost,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
transfer-rule,mined: payment transfer csdb stripe payments sin drvlah,DL SG,contains,payment transfer csdb stripe payments sin drvlah,,,132,100.0,Uncategorised Income,yes,Stripe settlement per locked decision — Phase-0.5 INTERNAL_TRANSFER rule
covered-by-counterparty,mined: xx openai san debit purchase,DL SG,contains,xx openai san debit purchase,,,97,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'openai' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase twilio,DL SG,contains,debit purchase twilio,,,92,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: progressive wage credit scheme ibg giro,DL SG,contains,progressive wage credit scheme ibg giro,,,89,100.0,Other Income,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx intuit qbooks online debit purchase,DL SG,contains,xx intuit qbooks online debit purchase,,,83,100.0,Other Operating Expenses:Corporate - Bookkeeping Fees,yes,pattern names party 'intuit' — its arbitrated default governs; a rule would override it
dropped:self-or-ic-pattern,mined: xx drive mate mel debit purchase,DL SG,contains,xx drive mate mel debit purchase,,,71,97.2,Cost of Overhead Related to Service:Operating Expenses,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
dropped:self-or-ic-pattern,mined: xx drive lah pte ltd sin debit credit xx drive l,DL SG,contains,xx drive lah pte ltd sin debit credit xx drive l,,,69,100.0,Other Income-Refund,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
dropped:already-a-live-qb-rule,mined: aaron jasper a miranda,DL SG,contains,aaron jasper a miranda,,,59,98.3,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
covered-by-counterparty,mined: xx whale ron debit purchase,DL SG,contains,xx whale ron debit purchase,,,54,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: edgardo buenaventura,DL SG,contains,edgardo buenaventura,,,52,98.1,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
covered-by-counterparty,mined: debit purchasexx google ads sin debit purchase,DL SG,contains,debit purchasexx google ads sin debit purchase,,,47,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
dropped:self-or-ic-pattern,mined: xx drive lah pte ltd sin debit purchase auto cat,DL SG,contains,xx drive lah pte ltd sin debit purchase auto cat,,,47,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
covered-by-counterparty,mined: car mobile detailing,DL SG,contains,car mobile detailing,,,44,93.2,Cost of Overhead Related to Service:Operating Expenses:Cleaning,yes,pattern names party 'car mobile detailing' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: debit purchase google ads,DL SG,contains,debit purchase google ads,,,43,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: randolf mercado,DL SG,contains,randolf mercado,,,42,97.6,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
covered-by-counterparty,mined: xx upwork ref debit purchase,DL SG,contains,xx upwork ref debit purchase,,,42,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'upwork' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: dominador gamit,DL SG,contains,dominador gamit,,,37,97.3,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
