id,source_system,type,source_ref,title,summary,body,risk,amount,currency,assignee_user_id,assignee_role,status,priority,due_at,created_by,created_at,acted_by,acted_at,action_taken,notes
162,finance,invoice-intake-review,invoice:2494,"⚠ Likely statement — recommend VOID — Onfido · USD 35,027.36","Draft #2494 auto-created from finance@ (Statement of Account from Onfido). Classifier says this is a statement, not an invoice — verify and void.","{'invoice_id': 2494, 'filename': 'Drive lah Pte Ltd.pdf', 'from': '""Onfido Billing (accountsreceivable@entrust.com)"" <system@sent-via.netsuite.com>', 'subject': 'Statement of Account from Onfido', 'doc_type': 'statement'}",,35027.36,USD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:03.049201,,,,
163,finance,invoice-intake-review,invoice:2495,"Review auto-ingested draft — Amazon Web Services · SGD 13,824.01","Draft #2495 auto-created from finance@ (RE: Re: Re: Your AWS account 481336486259 has been restricted for non-payment.). Verify fields, then submit for approval.","{'invoice_id': 2495, 'filename': 'SGIN26-455642.pdf', 'from': 'Cherry Buga-ay <aws-globalreceivables@email.amazon.com>', 'subject': 'RE: Re: Re: Your AWS account 481336486259 has been restricted for non-payment.', 'doc_type': 'invoice'}",,13824.01,SGD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:03.772438,,,,
164,finance,invoice-intake-review,invoice:2496,"Review auto-ingested draft — Amazon Web Services · SGD 15,577.85","Draft #2496 auto-created from finance@ (RE: Re: Re: Your AWS account 481336486259 has been restricted for non-payment.). Verify fields, then submit for approval.","{'invoice_id': 2496, 'filename': 'SGIN26-534039.pdf', 'from': 'Cherry Buga-ay <aws-globalreceivables@email.amazon.com>', 'subject': 'RE: Re: Re: Your AWS account 481336486259 has been restricted for non-payment.', 'doc_type': 'invoice'}",,15577.85,SGD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:04.497739,,,,
165,finance,invoice-intake-review,invoice:2497,Review auto-ingested draft — Amazon Web Services · SGD 175.60,"Draft #2497 auto-created from finance@ (RE: Re: Re: Your AWS account 481336486259 has been restricted for non-payment.). Verify fields, then submit for approval.","{'invoice_id': 2497, 'filename': 'SGRFP26-668.pdf', 'from': 'Cherry Buga-ay <aws-globalreceivables@email.amazon.com>', 'subject': 'RE: Re: Re: Your AWS account 481336486259 has been restricted for non-payment.', 'doc_type': 'invoice'}",,175.60,SGD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:05.379402,,,,
166,finance,invoice-intake-review,invoice:2498,"⚠ Likely statement — recommend VOID — ISS Solutions · AUD 18,466.91","Draft #2498 auto-created from finance@ (From Car-Trek Australia Pty Ltd). Classifier says this is a statement, not an invoice — verify and void.","{'invoice_id': 2498, 'filename': 'EStatement.pdf', 'from': 'ISS First Response <AccountRight@apps.myob.com>', 'subject': 'From Car-Trek Australia Pty Ltd', 'doc_type': 'statement'}",,18466.91,AUD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:05.442500,,,,
167,finance,invoice-intake-review,invoice:2499,Review auto-ingested draft — Thinxtra · AUD 385.19,"Draft #2499 auto-created from finance@ (Fwd: [AR] Invoice INV-3190685 from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd). Verify fields, then submit for approval.","{'invoice_id': 2499, 'filename': 'Invoice INV-3190822.pdf', 'from': 'Helen Wang <helen.wang@thinxtra.com>', 'subject': 'Fwd: [AR] Invoice INV-3190685 from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd', 'doc_type': 'invoice'}",,385.19,AUD,,finance.invoices,cancelled,0,,penny-mail-intake,2026-08-15 11:27:05.503474,Gaurav Singhal,2026-08-17 07:30:19.482384,void,delete
170,finance,invoice-intake-review,invoice:2502,Review auto-ingested draft — RIGHTWORKS · USD 39.00,"Draft #2502 auto-created from finance@ (Here is your Rightworks Transaction Pro invoice). Verify fields, then submit for approval.","{'invoice_id': 2502, 'filename': 'invoice_304649.pdf', 'from': 'Rightworks New No Reply <noreply@noreply.rightworks.com>', 'subject': 'Here is your Rightworks Transaction Pro invoice', 'doc_type': 'invoice'}",,39.00,USD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:05.695700,,,,
171,finance,invoice-intake-review,invoice:2503,"⚠ Likely statement — recommend VOID — 1 Key Locksmiths · AUD 6,000.00","Draft #2503 auto-created from finance@ (Statement from 1 Key Locksmiths). Classifier says this is a statement, not an invoice — verify and void.","{'invoice_id': 2503, 'filename': 'Statement_1035_from_1_Key_Locksmiths.pdf', 'from': '1 Key Locksmiths <quickbooks@notification.intuit.com>', 'subject': 'Statement from 1 Key Locksmiths', 'doc_type': 'statement'}",,6000.00,AUD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:05.757971,,,,
172,finance,invoice-intake-review,invoice:2504,"⚠ Likely statement — recommend VOID — Onfido · SGD 35,027.36","Draft #2504 auto-created from finance@ (Re: [EXTERNAL] Re: Statement of account from Onfido PTE.Ltd -Payment confirmation required- followup). Classifier says this is a statement, not an invoice — verify and void.","{'invoice_id': 2504, 'filename': 'Drive lah Pte Ltd.pdf', 'from': 'Laxmi K V <laxmi.kv@entrust.com>', 'subject': 'Re: [EXTERNAL] Re: Statement of account from Onfido PTE.Ltd -Payment confirmation required- followup', 'doc_type': 'statement'}",,35027.36,SGD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:06.516167,,,,
173,finance,invoice-intake-review,invoice:2505,"⚠ Likely legal — recommend VOID — Wise Australia Pty Ltd / TMF Corporate Services (Aust) Pty Limited · AUD 33,314.37","Draft #2505 auto-created from finance@ (Re: Drive Lah & Experian - Account Suspension). Classifier says this is a legal, not an invoice — verify and void.","{'invoice_id': 2505, 'filename': 'Experian.pdf', 'from': 'Zilla Marie <zilla@drivelah.sg>', 'subject': 'Re: Drive Lah & Experian - Account Suspension', 'doc_type': 'legal'}",,33314.37,AUD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:07.317681,,,,
